1,Candi
2,Pantai
3,Air Terjun
4,Taman
5,Goa
6,Kolam Renang
7,Makam Pahlawan
8,Penginapan
9,Kedai
10,Kuliner
11,Oleh-Oleh
12,Wisata Alam
13,Wisata Edukasi
14,Wisata Agro
15,Telaga
16,Gunung
